Date,IEF,SHV,XLP,IEI,TLH,ICF,GLD,HYG,IYZ,SHY,XLE,TIP,TLT,XLI,XLU,XLK,XLV,XLB,XLY,XLF
2021-05-19,112.43142700195312,110.4017562866211,68.68836975097656,129.27389526367188,138.10260009765625,59.999717712402344,175.16000366210938,82.77043151855469,31.57919692993164,85.92093658447266,49.85464096069336,118.62660217285156,133.7036590576172,100.94126892089844,63.33619689941406,133.38934326171875,121.29534912109375,84.8612060546875,166.67550659179688,36.56465148925781
2021-05-20,112.89620971679688,110.4017562866211,69.32292175292969,129.51190185546875,139.04493713378906,60.78223419189453,175.9600067138672,83.12403106689453,32.045738220214844,85.96076965332031,49.778133392333984,118.76679229736328,134.80381774902344,101.1681900024414,63.88948059082031,135.9405975341797,122.56694793701172,84.91034698486328,168.3851776123047,36.584312438964844
2021-05-21,112.93574523925781,110.4117431640625,69.33267974853516,129.48219299316406,139.3885040283203,60.67463684082031,176.0399932861328,83.24825286865234,32.094337463378906,85.94086456298828,49.88332748413086,118.98171997070312,135.23606872558594,101.66151428222656,64.21951293945312,135.19606018066406,122.586669921875,85.0970458984375,167.540283203125,36.94809341430664
2021-05-24,113.04452514648438,110.4117431640625,69.5376968383789,129.57138061523438,139.7615203857422,61.37891387939453,176.35000610351562,83.34381866455078,32.15265655517578,85.96076965332031,50.38063430786133,119.27141571044922,135.737060546875,102.29293823242188,64.10302734375,137.598388671875,122.7049560546875,85.85368347167969,169.20028686523438,37.125064849853516
2021-05-25,113.45982360839844,110.4117431640625,69.55722045898438,129.7796173095703,140.82164001464844,61.56475830078125,177.9499969482422,83.35338592529297,31.938823699951172,85.96076965332031,49.357337951660156,119.60784149169922,136.99441528320312,101.98709106445312,63.32648468017578,137.6381072998047,122.34022521972656,85.12651824951172,169.73703002929688,36.75145721435547
2021-05-26,113.331298828125,110.4117431640625,69.41078186035156,129.73995971679688,140.65480041503906,61.691917419433594,177.63999938964844,83.38204956054688,32.055458068847656,85.98070526123047,49.79726028442383,119.33683776855469,136.7586212158203,102.31267547607422,63.33619689941406,137.628173828125,121.63050079345703,85.15601348876953,171.35728454589844,36.85961151123047
2021-05-27,113.13352966308594,110.4117431640625,68.98124694824219,129.65069580078125,140.11488342285156,61.51585006713867,177.7100067138672,83.34381866455078,32.1915283203125,85.98070526123047,49.83551025390625,119.32749938964844,136.20855712890625,103.71368408203125,62.90909957885742,136.9035186767578,121.36434936523438,85.83403015136719,172.04315185546875,37.28237533569336
2021-05-28,113.1236343383789,110.4017562866211,69.12767791748047,129.69036865234375,139.9774627685547,61.98535919189453,178.3800048828125,83.31517028808594,32.22069549560547,85.98070526123047,49.93114471435547,119.40223693847656,135.99246215820312,103.71368408203125,63.248836517333984,137.38992309570312,121.8375015258789,85.74559783935547,171.80458068847656,37.351200103759766
2021-06-01,113.10286712646484,110.39176177978516,68.89337921142578,129.67648315429688,139.73667907714844,63.01241683959961,177.89999389648438,83.56542205810547,32.123497009277344,85.96277618408203,51.85342025756836,119.75081634521484,135.96192932128906,104.1181869506836,62.860572814941406,136.71490478515625,119.8364486694336,86.94442749023438,171.47654724121094,37.57733154296875
2021-06-02,113.23148345947266,110.4017562866211,69.14720916748047,129.73605346679688,139.97256469726562,63.931880950927734,178.77000427246094,83.6708984375,32.308170318603516,85.97272491455078,52.819332122802734,119.60050201416016,136.2767333984375,103.82220458984375,63.19059371948242,137.657958984375,119.5998764038086,86.2172622680664,170.68138122558594,37.63631820678711
2021-06-03,112.94451904296875,110.39176177978516,69.57674407958984,129.48797607421875,139.59906005859375,63.89274597167969,175.27000427246094,83.49830627441406,32.46368408203125,85.94284057617188,52.96278762817383,119.19650268554688,135.7651824951172,103.59527587890625,63.56916046142578,136.37738037109375,119.96459197998047,86.19761657714844,168.65357971191406,37.72480773925781
2021-06-04,113.56790924072266,110.4017562866211,69.82080841064453,129.8451690673828,141.06356811523438,63.96123504638672,177.16000366210938,83.68048858642578,32.735836029052734,85.97272491455078,53.31663513183594,119.76961517333984,137.62445068359375,103.93072509765625,63.47209167480469,138.9980926513672,120.34902954101562,86.38431549072266,170.0054168701172,37.82313537597656
2021-06-07,113.47887420654297,110.39176177978516,69.70366668701172,129.79556274414062,140.83749389648438,64.64592742919922,177.8699951171875,83.70925903320312,32.658077239990234,85.96277618408203,53.08710861206055,119.50653839111328,137.20147705078125,103.21050262451172,63.58856964111328,138.96832275390625,120.78275299072266,85.33287811279297,170.0054168701172,37.57733154296875
2021-06-08,113.8053970336914,110.4017562866211,69.11791229248047,129.94439697265625,141.545166015625,65.03719329833984,177.32000732421875,83.76679229736328,32.82331085205078,85.9826889038086,53.54616165161133,119.6286849975586,138.16546630859375,103.47688293457031,63.04499435424805,138.97825622558594,120.4081802368164,85.49010467529297,171.37716674804688,37.4790153503418
2021-06-09,114.16163635253906,110.38177490234375,68.78599548339844,130.0932159423828,142.41993713378906,65.13499450683594,176.97999572753906,83.83390808105469,32.794151306152344,85.96277618408203,53.21143341064453,119.6380615234375,139.38534545898438,102.42120361328125,63.60798263549805,139.07754516601562,121.57135772705078,84.82190704345703,170.432861328125,37.125064849853516
2021-06-10,114.5673599243164,110.39176177978516,69.21553039550781,130.251953125,143.2259063720703,65.81507873535156,177.74000549316406,83.98733520507812,33.067928314208984,85.9926528930664,53.14448928833008,120.2581558227539,140.22154235839844,101.91802215576172,64.02537536621094,140.10000610351562,123.6512680053711,84.3109359741211,171.2379913330078,36.692466735839844
